chr	start	end	strand	shifting_score	shift_in_bp	dominant_peak_maternal	dominant_peak_zygotic	ensembl_gene_id	gene_start	gene_end	tss	entrezgene	external_gene_id	gene_biotype
chr11	45953046	45953086	-	0.887348116	-37	45953049	45953086	ENSDARG00000090955	45940119	45952962	45952962	NA	CU929356.5	protein_coding
chr11	46225477	46225572	-	0.633210452	-33	46225518	46225551	ENSDARG00000042444	46207029	46225512	46225512	325167	ankrd13c	protein_coding
chr11	46392216	46392325	-	0.676372524	42	46392309	46392267	ENSDARG00000086850	46388931	46392159	46392159	NA	CABZ01089385.1	protein_coding
chr11	46484795	46484891	-	0.654849096	34	46484837	46484803	NA	NA	NA	NA	NA	NA	NA
chr12	3382742	3382843	+	0.757826311	21	3382776	3382797	ENSDARG00000079067	3382820	3426149	3382820	563643	MMS19	protein_coding
chr12	3448894	3448959	+	0.695465441	24	3448925	3448949	ENSDARG00000012094	3448945	3487535	3448945	550427	prkar1ab	protein_coding
chr12	19743988	19744138	+	0.638914472	45	19744053	19744098	NA	NA	NA	NA	NA	NA	NA
chr12	20377390	20377636	+	0.627521016	23	20377443	20377466	NA	NA	NA	NA	NA	NA	NA
chr12	20480914	20480984	+	0.618544226	18	20480917	20480935	ENSDARG00000055868	20480934	20490249	20480934	563247	RSL1D1	protein_coding
chr12	32112969	32113002	+	0.631394262	7	32112990	32112997	ENSDARG00000075257	32113013	32151324	32113013	100333284	NHLRC2 (1 of 2)	protein_coding
chr12	40259438	40259529	+	0.785416975	0	40259497	40259497	ENSDARG00000053026	40259745	40346684	40259745	565913	kif19	protein_coding
chr12	44322072	44322161	+	0.753658105	78	44322073	44322151	ENSDARG00000031439	44322076	44349503	44322076	449777	glrx3	protein_coding
chr12	47758143	47758201	+	0.855281818	48	47758146	47758194	ENSDARG00000057060	47758183	47771010	47758183	554134	fam18b	protein_coding
chr12	49955439	49955529	+	0.636770597	-48	49955491	49955443	NA	NA	NA	NA	NA	NA	NA
chr12	50397239	50397361	+	0.685723097	-33	50397331	50397298	NA	NA	NA	NA	NA	NA	NA
chr12	50644621	50644700	+	0.683518366	49	50644622	50644671	ENSDARG00000076780	50644670	50652623	50644670	100037342	acadsb	protein_coding
chr12	4299088	4299116	-	0.848930181	17	4299116	4299099	NA	NA	NA	NA	NA	NA	NA
chr12	4312036	4312145	-	0.614475713	18	4312084	4312066	ENSDARG00000059079	4304207	4312087	4312087	407684	VPS25	protein_coding
chr12	4431469	4431513	-	0.660045736	40	4431510	4431470	NA	NA	NA	NA	NA	NA	NA
chr12	4642739	4642963	-	0.622261859	-68	4642819	4642887	ENSDARG00000016443	4624742	4642885	4642885	334234	eif3c	protein_coding
chr12	7906798	7907019	-	0.643705177	-22	7906987	7907009	ENSDARG00000029291	7865691	7906665	7906665	790916	ipmkb	protein_coding
chr12	7925013	7925236	-	0.647653837	-40	7925089	7925129	ENSDARG00000038576	7909577	7925181	7925181	324015	ube2d1	protein_coding
chr12	12699447	12699552	-	0.658555859	15	12699523	12699508	ENSDARG00000094504	12602784	12699480	12699480	100537419	PLEKHA1 (2 of 2)	protein_coding
chr12	18268560	18268637	-	0.69241818	10	18268626	18268616	ENSDARG00000018529	18226191	18268577	18268577	406713	lipf	protein_coding
chr12	30781486	30781551	-	0.721021401	16	30781514	30781498	NA	NA	NA	NA	NA	NA	NA
chr12	31619634	31619661	-	0.673772681	7	31619653	31619646	ENSDARG00000053805	31612180	31619661	31619661	556642	trub1	protein_coding
chr12	33411008	33411634	-	0.726046747	8	33411481	33411473	ENSDARG00000057484	33407774	33411488	33411488	406691	srsf2	protein_coding
chr12	35154139	35154289	-	0.701892542	-31	35154205	35154236	NA	NA	NA	NA	NA	NA	NA
chr12	36120342	36120475	-	0.822751719	25	36120369	36120344	NA	NA	NA	NA	NA	NA	NA
chr12	36468898	36468933	-	0.704387571	34	36468933	36468899	ENSDARG00000087461	36452904	36468681	36468681	100151186	CR854979.4	protein_coding
chr12	38987133	38987272	-	0.667381039	-27	38987240	38987267	NA	NA	NA	NA	NA	NA	NA
chr12	48061148	48061246	-	0.689327186	-85	48061151	48061236	ENSDARG00000060196	48051830	48061236	48061236	100073345	LHPP	protein_coding
chr12	50682122	50682246	-	0.664638383	-12	50682178	50682190	NA	NA	NA	NA	NA	NA	NA
chr13	3879702	3879807	+	0.636771784	-36	3879790	3879754	ENSDARG00000039820	3879757	3887274	3879757	415201	MEA1	protein_coding
chr13	4548621	4548724	+	0.629227913	48	4548625	4548673	ENSDARG00000063358	4548522	4646323	4548522	561210	CBARA1	protein_coding
chr13	6285043	6285156	+	0.739684493	-32	6285083	6285051	ENSDARG00000074289	6285077	6290337	6285077	327377	tuba4l	protein_coding
chr13	7215868	7215951	+	0.701567829	-36	7215932	7215896	NA	NA	NA	NA	NA	NA	NA
chr13	9207767	9207828	+	0.642925542	23	9207798	9207821	ENSDARG00000032102	9207633	9216828	9207633	373079	prdx3	protein_coding
chr13	10364584	10364670	+	0.642340323	23	10364622	10364645	ENSDARG00000043970	10364595	10487747	10364595	557195	lrpprc	protein_coding
chr13	12903025	12903076	+	0.6518285	16	12903026	12903042	ENSDARG00000056978	12902994	12968957	12902994	570745	letm1	protein_coding
chr13	13806149	13806273	+	0.653274691	-25	13806229	13806204	ENSDARG00000062139	13806231	13865559	13806231	559564	eif2ak3	protein_coding
chr13	18360378	18360521	+	0.671782288	-35	18360508	18360473	ENSDARG00000012274	18360383	18373442	18360383	550549	eif4e1c	protein_coding
chr13	18403635	18403686	+	0.644925955	1	18403676	18403677	ENSDARG00000021404	18403643	18408569	18403643	796111	zgc:110319	protein_coding
chr13	23003756	23003775	+	0.674816455	-9	23003774	23003765	ENSDARG00000039466	23003728	23012629	23003728	678601	HNRNPH3	protein_coding
chr13	24895319	24895370	+	0.627382492	3	24895354	24895357	ENSDARG00000001452	24895371	24903526	24895371	368917	adam8a	protein_coding
chr13	25944853	25944971	+	0.740678899	36	25944913	25944949	ENSDARG00000031981	25944859	25950424	25944859	393787	pcbd1	protein_coding
chr13	28736473	28736551	+	0.703495139	48	28736477	28736525	ENSDARG00000033551	28736465	28785110	28736465	58035	fbxw4	protein_coding
chr13	31293838	31294133	+	0.715649864	-14	31293917	31293903	ENSDARG00000075225	31293887	31313889	31293887	NA	si:ch211-223a10.1	protein_coding
chr13	33030974	33031133	+	0.665568838	47	33030982	33031029	ENSDARG00000054251	33031021	33038653	33031021	447876	pqlc3	protein_coding
chr13	33492223	33492282	+	0.816371854	45	33492228	33492273	ENSDARG00000018956	33492259	33504912	33492259	334110	tmem39b	protein_coding
chr13	33831140	33831492	+	0.721002071	86	33831366	33831452	ENSDARG00000012972	33831214	33833902	33831214	406738	cfl1l	protein_coding
chr13	36987260	36987492	+	0.741427514	12	36987446	36987458	ENSDARG00000028327	36987265	36995484	36987265	406384	gmfb	protein_coding
chr13	37082426	37082468	+	0.752745021	-31	37082463	37082432	ENSDARG00000012072	37082430	37093575	37082430	393187	atp5s	protein_coding
chr13	41427307	41427374	+	0.678649569	42	41427309	41427351	ENSDARG00000020656	41427070	41571531	41427070	394005	prkg1a	protein_coding
chr13	44029436	44029483	+	0.790055591	40	44029440	44029480	ENSDARG00000056986	44029503	44036259	44029503	337795	dact2	protein_coding
chr13	46547699	46547723	+	0.634671175	5	46547707	46547712	ENSDARG00000052623	46547570	46567520	46547570	794882	bsdc1	protein_coding
chr13	47340599	47340645	+	0.635801625	-3	47340603	47340600	NA	NA	NA	NA	NA	NA	NA
chr13	53081293	53081385	+	0.649565824	6	53081331	53081337	NA	NA	NA	NA	NA	NA	NA
chr13	78397	78481	-	0.618861724	-37	78410	78447	ENSDARG00000039619	68757	78141	78141	NA	SMEK2	protein_coding
chr13	404895	405026	-	0.643766438	-30	404933	404963	NA	NA	NA	NA	NA	NA	NA
chr13	3013997	3014081	-	0.720495131	68	3014069	3014001	NA	NA	NA	NA	NA	NA	NA
chr13	5655464	5655541	-	0.725479019	32	5655519	5655487	ENSDARG00000070076	5623672	5655498	5655498	554861	actr2b	protein_coding
chr13	6992371	6992511	-	0.62475481	-20	6992395	6992415	NA	NA	NA	NA	NA	NA	NA
chr13	17778304	17778456	-	0.725276494	-19	17778322	17778341	ENSDARG00000013623	17763269	17778447	17778447	322126	vdac2	protein_coding
chr13	22839248	22839345	-	0.657919573	96	22839345	22839249	ENSDARG00000008816	22819296	22839236	22839236	317737	glud1a	protein_coding
chr13	24442595	24442691	-	0.649585438	63	24442686	24442623	ENSDARG00000003829	24292467	24442685	24442685	570248	GALNT2	protein_coding
chr13	25508134	25508307	-	0.837646621	35	25508269	25508234	ENSDARG00000044968	25435829	25508269	25508269	552980	vcl	protein_coding
chr13	28487424	28487520	-	0.656603361	-37	28487441	28487478	ENSDARG00000031302	28233329	28487470	28487470	777731	smap1	protein_coding
chr13	30374124	30374211	-	0.726945868	4	30374150	30374146	ENSDARG00000033320	30368539	30374194	30374194	550581	sar1a	protein_coding
chr13	31390046	31390233	-	0.693395569	60	31390225	31390165	ENSDARG00000031888	31371120	31390207	31390207	562720	mapk8a	protein_coding
chr13	31593726	31593833	-	0.641630154	8	31593794	31593786	ENSDARG00000022410	31566928	31593786	31593786	563195	rrp12	protein_coding
chr13	32849809	32849845	-	0.704629698	-33	32849812	32849845	ENSDARG00000069269	32803984	32849849	32849849	565515	wdr35	protein_coding
chr13	33540920	33541065	-	0.756386551	114	33541040	33540926	ENSDARG00000078333	33538275	33541000	33541000	568275	tmem234	protein_coding
chr13	37872272	37872338	-	0.816316297	48	37872329	37872281	ENSDARG00000077265	37866391	37872287	37872287	100148281	WDR89	protein_coding
chr13	41366471	41366550	-	0.610637313	0	41366541	41366541	ENSDARG00000039062	41358337	41366557	41366557	550131	morn4	protein_coding
chr13	42722988	42723025	-	0.883690489	21	42723018	42722997	NA	NA	NA	NA	NA	NA	NA
chr13	45450640	45450684	-	0.766325044	30	45450684	45450654	ENSDARG00000093656	45446946	45450691	45450691	100002333	ZNF8 (2 of 5)	protein_coding
chr13	50422854	50422920	-	0.630160625	44	50422920	50422876	ENSDARG00000004702	50420359	50422920	50422920	335866	irf2bp2a	protein_coding
chr13	51342407	51342477	-	0.67014026	-59	51342410	51342469	ENSDARG00000068064	51324637	51342455	51342455	797132	sirt1	protein_coding
chr14	274303	274486	+	0.702984996	9	274373	274382	ENSDARG00000077991	274504	297058	274504	NA	WDR1	protein_coding
chr14	7168145	7168265	+	0.619436598	24	7168146	7168170	ENSDARG00000037628	7168377	7176096	7168377	503604	TRPT1	protein_coding
chr14	21343836	21343953	+	0.753871524	82	21343839	21343921	ENSDARG00000052242	21343820	21738251	21343820	NA	AFF2	protein_coding
chr14	22686783	22686961	+	0.703925294	10	22686873	22686883	ENSDARG00000057026	22686804	22695181	22686804	30572	ran	protein_coding
chr14	24591882	24592027	+	0.669800995	15	24591914	24591929	ENSDARG00000018989	24591915	24612390	24591915	334086	hspa4b	protein_coding
chr14	24980467	24980559	+	0.716100418	0	24980490	24980490	ENSDARG00000009850	24980495	25008061	24980495	NA	KIF3A (1 of 2)	protein_coding
chr14	26514996	26515058	+	0.807016941	-12	26515039	26515027	ENSDARG00000056517	26515021	26520508	26515021	445302	thoc3	protein_coding
chr14	27728753	27728858	+	0.829484294	22	27728807	27728829	ENSDARG00000056119	27728715	27738387	27728715	195822	eef1g	protein_coding
chr14	27768378	27768675	+	0.699050056	51	27768379	27768430	ENSDARG00000061764	27768430	27805552	27768430	NA	ahnak	protein_coding
chr14	29159641	29159756	+	0.780565417	7	29159708	29159715	NA	NA	NA	NA	NA	NA	NA
chr14	34402769	34402858	+	0.657142085	53	34402770	34402823	ENSDARG00000071467	34402823	34408380	34402823	562507	zbtb33	protein_coding
chr14	34482613	34482829	+	0.658526027	-28	34482672	34482644	ENSDARG00000025972	34482594	34488065	34482594	394046	mcts1	protein_coding
chr14	35154712	35154765	+	0.741208113	-21	35154752	35154731	ENSDARG00000075048	35154723	35176681	35154723	560773	lonrf1	protein_coding
chr14	46995643	46995793	+	0.653436657	14	46995673	46995687	ENSDARG00000068265	46995798	46998792	46995798	NA	tomm5	protein_coding
chr14	51224171	51224233	+	0.722157478	26	51224207	51224233	ENSDARG00000071336	51224155	51229737	51224155	751093	mif	protein_coding
chr14	4120280	4120364	-	0.670358761	12	4120342	4120330	ENSDARG00000038270	3895192	4120141	4120141	100538291	PIGG	protein_coding
chr14	4355000	4355020	-	0.674714489	-13	4355003	4355016	ENSDARG00000086704	4342407	4354929	4354929	100330652	MLF1IP (1 of 2)	protein_coding
chr14	5648515	5648601	-	0.625218023	-24	5648538	5648562	ENSDARG00000037675	5594201	5648591	5648591	553507	npm4	protein_coding
chr14	9912243	9912335	-	0.628518622	70	9912335	9912265	ENSDARG00000059317	9795331	9912178	9912178	NA	si:zfos-2326c3.2	protein_coding
chr14	27420817	27421014	-	0.647803908	-21	27420899	27420920	NA	NA	NA	NA	NA	NA	NA
chr14	31593701	31593829	-	0.670199863	-68	31593702	31593770	ENSDARG00000016058	31583365	31593826	31593826	393381	fibp	protein_coding
chr14	33814853	33814939	-	0.742514477	-26	33814873	33814899	ENSDARG00000053166	33806915	33814924	33814924	564524	chic1	protein_coding
chr14	34400108	34400229	-	0.657314926	-36	34400144	34400180	ENSDARG00000033450	34393486	34400219	34400219	336120	nkapl	protein_coding
chr14	40369480	40369603	-	0.751250292	-35	40369520	40369555	ENSDARG00000019236	40349421	40369597	40369597	553575	GSR	protein_coding
chr14	40374845	40374893	-	0.729708306	44	40374891	40374847	ENSDARG00000029064	40371530	40374871	40374871	436768	uqcrq	protein_coding
chr14	49005826	49005925	-	0.704479855	35	49005872	49005837	ENSDARG00000019459	48982810	49005851	49005851	445489	elf2a	protein_coding
chr14	53354025	53354236	-	0.718162477	-47	53354113	53354160	ENSDARG00000087007	53351123	53353384	53353384	NA	NCBP1 (2 of 2)	protein_coding
chr15	1196016	1196100	+	0.876325922	64	1196034	1196098	ENSDARG00000076444	1196108	1209347	1196108	NA	MFSD1	protein_coding
chr15	3501953	3501976	+	0.7387186	-20	3501974	3501954	ENSDARG00000058869	3502177	3509891	3502177	NA	NEK3	protein_coding
chr15	4827981	4828035	+	0.769897339	-30	4828024	4827994	ENSDARG00000042825	4828002	4844139	4828002	795748	RNF169	protein_coding
chr15	6659497	6659533	+	0.796851081	33	6659498	6659531	NA	NA	NA	NA	NA	NA	NA
chr15	14805190	14805263	+	0.654629443	36	14805197	14805233	ENSDARG00000031562	14805225	14838613	14805225	797303	tada2a	protein_coding
chr15	15204132	15204183	+	0.750115057	-33	15204181	15204148	ENSDARG00000016543	15204133	15211223	15204133	550390	rnmtl1a	protein_coding
chr15	15905185	15905362	+	0.667701754	171	15905186	15905357	ENSDARG00000017261	15905211	15913890	15905211	445504	gdpd1	protein_coding
chr15	16425917	16426084	+	0.648154801	27	16425976	16426003	ENSDARG00000058230	16425935	16443605	16425935	406349	rps6kb1b	protein_coding
chr15	21844694	21844839	+	0.728438471	60	21844697	21844757	ENSDARG00000062627	21844904	21896897	21844904	558150	SACS (2 of 2)	protein_coding
chr15	22904528	22904681	+	0.710472686	75	22904572	22904647	ENSDARG00000024966	22905419	22995063	22905419	NA	MARK4 (1 of 2)	protein_coding
chr15	23076171	23076297	+	0.758147586	47	23076188	23076235	ENSDARG00000010487	23076168	23092652	23076168	415148	sae1	protein_coding
chr15	38712103	38712621	+	0.663334715	99	38712254	38712353	ENSDARG00000076179	38712548	38766242	38712548	569090	NGEF	protein_coding
chr15	44745473	44745551	+	0.731905112	-14	44745521	44745507	NA	NA	NA	NA	NA	NA	NA
chr15	46579882	46580100	+	0.676290997	-56	46580055	46579999	NA	NA	NA	NA	NA	NA	NA
chr15	1617528	1617723	-	0.68661067	-52	1617615	1617667	ENSDARG00000023190	1591714	1617691	1617691	327373	kpna4	protein_coding
chr15	1760224	1760345	-	0.634491085	-42	1760273	1760315	ENSDARG00000063596	1745049	1760343	1760343	572367	wbscr22	protein_coding
chr15	1833051	1833173	-	0.725053551	-45	1833102	1833147	ENSDARG00000070019	1814484	1833117	1833117	558760	TAF15	protein_coding
chr15	2745625	2745702	-	0.659947191	28	2745656	2745628	ENSDARG00000034313	2719217	2745636	2745636	541536	PPP5C	protein_coding
chr15	2837038	2837217	-	0.666503367	16	2837056	2837040	NA	NA	NA	NA	NA	NA	NA
chr15	3048686	3048854	-	0.723411965	28	3048785	3048757	NA	NA	NA	NA	NA	NA	NA
chr15	4826104	4826182	-	0.634317798	70	4826182	4826112	ENSDARG00000069852	4816584	4826102	4826102	664765	LIPT2	protein_coding
chr15	5786284	5786521	-	0.634822809	-54	5786426	5786480	NA	NA	NA	NA	NA	NA	NA
chr15	6546399	6546548	-	0.711197966	8	6546523	6546515	ENSDARG00000013489	6532402	6546523	6546523	322404	GLTSCR2	protein_coding
chr15	7579236	7579264	-	0.677898403	23	7579260	7579237	NA	NA	NA	NA	NA	NA	NA
chr15	10462272	10462315	-	0.785664745	-16	10462280	10462296	ENSDARG00000037884	10429168	10462341	10462341	437023	rab30	protein_coding
chr15	22797120	22797170	-	0.64446062	9	22797167	22797158	ENSDARG00000040571	22777220	22797485	22797485	557121	ube4a	protein_coding
chr15	24029896	24030026	-	0.643271744	-22	24029964	24029986	ENSDARG00000069314	24027277	24029863	24029863	100001648	tmem199	protein_coding
chr15	25907196	25907332	-	0.712488065	16	25907289	25907273	NA	NA	NA	NA	NA	NA	NA
chr15	27434234	27434419	-	0.706350484	-40	27434324	27434364	ENSDARG00000041137	27427930	27434364	27434364	492783	dhrs13	protein_coding
chr15	28026470	28026566	-	0.758035286	20	28026566	28026546	ENSDARG00000025977	27983464	28026609	28026609	336541	blmh	protein_coding
chr15	30534875	30534948	-	0.678130414	71	30534947	30534876	ENSDARG00000054748	30480302	30534947	30534947	556847	CUEDC1 (1 of 2)	protein_coding
chr15	30562825	30563009	-	0.665630514	55	30562908	30562853	ENSDARG00000061030	30541577	30562927	30562927	556915	vezf1	protein_coding
chr15	43148659	43148749	-	0.73606351	15	43148739	43148724	ENSDARG00000091760	43084430	43148707	43148707	619271	cwf19l2	protein_coding
chr16	3168806	3168953	+	0.635982437	-40	3168909	3168869	ENSDARG00000054897	3168886	3184008	3168886	436911	PREB	protein_coding
chr16	5475868	5475965	+	0.791521205	74	5475872	5475946	NA	NA	NA	NA	NA	NA	NA
chr16	5783781	5783857	+	0.668324395	-43	5783856	5783813	ENSDARG00000074424	5783806	5840439	5783806	NA	ibtk	protein_coding
chr16	6853385	6853471	+	0.660847465	85	6853386	6853471	ENSDARG00000018980	6853443	6861184	6853443	431729	zgc:91890	protein_coding
chr16	7964252	7964366	+	0.927238474	43	7964294	7964337	ENSDARG00000095890	7964346	8014222	7964346	NA	ZNF236	protein_coding
chr16	11356307	11356337	+	0.726005333	9	11356310	11356319	ENSDARG00000023279	11356309	11371976	11356309	550287	psmd4b	protein_coding
chr16	11946613	11946741	+	0.65853714	-14	11946668	11946654	ENSDARG00000086764	11947107	11963017	11947107	569805	MDC1	protein_coding
chr16	25543151	25543289	+	0.726156284	57	25543152	25543209	ENSDARG00000015158	25543152	25554171	25543152	503533	slc50a1	protein_coding
chr16	26130675	26130825	+	0.658575092	70	26130679	26130749	ENSDARG00000040300	26130736	26143578	26130736	436727	gtpbp10	protein_coding
chr16	27313263	27313342	+	0.629802697	55	27313284	27313339	NA	NA	NA	NA	NA	NA	NA
chr16	29452334	29452677	+	0.653660705	19	29452588	29452607	ENSDARG00000076568	29452307	29459898	29452307	791986	sec61b	protein_coding
chr16	30749895	30750037	+	0.685732025	42	30749978	30750020	ENSDARG00000079788	30750192	30804903	30750192	795681	fam171a1	protein_coding
chr16	38056711	38056760	+	0.820555929	39	38056712	38056751	NA	NA	NA	NA	NA	NA	NA
chr16	40784201	40784289	+	0.621888846	-32	40784282	40784250	ENSDARG00000093784	40784280	40787158	40784280	NA	si:dkey-23o4.5	protein_coding
chr16	41325207	41325288	+	0.615220994	56	41325215	41325271	ENSDARG00000003308	41325219	41395350	41325219	407073	ttc35	protein_coding
chr16	41607148	41607288	+	0.742576115	27	41607194	41607221	ENSDARG00000070046	41607245	41610172	41607245	436700	eny2	protein_coding
chr16	44486697	44486882	+	0.609903438	31	44486738	44486769	ENSDARG00000004939	44486773	44501919	44486773	553275	mtdhb	protein_coding
chr16	45252622	45252665	+	0.671113537	13	45252623	45252636	ENSDARG00000021033	45252606	45265504	45252606	393157	herpud2	protein_coding
chr16	48994991	48995111	+	0.653590561	-10	48995030	48995020	ENSDARG00000017220	48995025	49054579	48995025	777637	otud7b	protein_coding
chr16	5490959	5491151	-	0.659759977	-36	5491087	5491123	ENSDARG00000041340	5484586	5491123	5491123	797002	MRPL51	protein_coding
chr16	7638391	7638494	-	0.731676605	0	7638408	7638408	ENSDARG00000029356	7608863	7638408	7638408	572841	MBOAT1	protein_coding
chr16	8598703	8598781	-	0.774485233	34	8598744	8598710	ENSDARG00000041237	8595871	8598728	8598728	393306	med18	protein_coding
chr16	12540965	12541007	-	0.637583404	14	12541004	12540990	ENSDARG00000004171	12532687	12540990	12540990	407650	rabac1	protein_coding
chr16	12945006	12945061	-	0.729537024	-29	12945030	12945059	ENSDARG00000092637	12938744	12945075	12945075	NA	si:dkey-165g20.2	processed_transcript
chr16	14263008	14263042	-	0.665341689	-20	14263012	14263032	ENSDARG00000037860	14255661	14263011	14263011	393478	COX6B1 (2 of 2)	protein_coding
chr16	15375318	15375448	-	0.810523822	129	15375448	15375319	NA	NA	NA	NA	NA	NA	NA
chr16	22954549	22954689	-	0.660099	6	22954613	22954607	ENSDARG00000056856	22890363	22954635	22954635	324152	tax1bp1b	protein_coding
chr16	24101480	24101583	-	0.658483183	-43	24101487	24101530	NA	NA	NA	NA	NA	NA	NA
chr16	24765436	24765559	-	0.659146691	-47	24765460	24765507	ENSDARG00000095062	24736149	24765583	24765583	NA	si:dkey-238m4.3	processed_transcript
chr16	25043612	25043778	-	0.648627946	84	25043707	25043623	ENSDARG00000075437	24962304	25043642	25043642	563639	SHC1	protein_coding
chr16	26036821	26036931	-	0.681516737	30	26036882	26036852	NA	NA	NA	NA	NA	NA	NA
chr16	26912190	26912214	-	0.825744248	21	26912212	26912191	ENSDARG00000016856	26909176	26912212	26912212	335176	zgc:77556	protein_coding
chr16	28688345	28688437	-	0.641614969	47	28688437	28688390	ENSDARG00000091856	28676899	28688198	28688198	NA	si:dkey-108f8.4	protein_coding
chr16	29771235	29771345	-	0.64357164	18	29771331	29771313	ENSDARG00000055885	29736620	29771331	29771331	327196	tex10	protein_coding
chr16	33655441	33655490	-	0.734434823	-20	33655470	33655490	NA	NA	NA	NA	NA	NA	NA
chr16	33809924	33810007	-	0.614671373	-13	33809930	33809943	ENSDARG00000054814	33757266	33809975	33809975	567691	PTP4A3 (2 of 2)	protein_coding
chr16	34012172	34012650	-	0.72880706	158	34012347	34012189	NA	NA	NA	NA	NA	NA	NA
chr16	34442748	34442832	-	0.732162378	-27	34442788	34442815	ENSDARG00000007135	34424666	34442815	34442815	449540	cnot3a	protein_coding
chr16	38393132	38393198	-	0.767907054	-8	38393178	38393186	ENSDARG00000039989	38388270	38393178	38393178	325757	snrnp48	protein_coding
chr16	42143886	42144361	-	0.684481807	32	42144297	42144265	ENSDARG00000001890	42052001	42144277	42144277	323918	STT3B	protein_coding
chr16	44944981	44945099	-	0.71766123	42	44945079	44945037	ENSDARG00000060256	44925524	44945077	44945077	556362	ALKBH8	protein_coding
chr16	45077401	45077456	-	0.700578376	-27	45077424	45077451	ENSDARG00000025200	45055583	45077446	45077446	664750	ppox	protein_coding
chr16	45981633	45981747	-	0.718641129	-28	45981668	45981696	ENSDARG00000015856	45968698	45981705	45981705	436633	slc25a40	protein_coding
chr16	49714105	49714141	-	0.69164292	-21	49714109	49714130	ENSDARG00000039872	49707856	49714207	49714207	445155	LAMTOR2	protein_coding
chr16	56252629	56252771	-	0.718113493	-25	56252669	56252694	ENSDARG00000018192	56147791	56252683	56252683	334627	ubr5	protein_coding
chr16	57955509	57955565	-	0.695479	-48	57955512	57955560	NA	NA	NA	NA	NA	NA	NA
chr17	986546	986769	+	0.637878096	-44	986674	986630	ENSDARG00000086639	986759	995909	986759	571845	SIVA1	protein_coding
chr17	12952151	12952250	+	0.666686807	12	12952198	12952210	ENSDARG00000015638	12952212	12960891	12952212	550271	sip1	protein_coding
chr17	17862025	17862107	+	0.695160061	13	17862057	17862070	ENSDARG00000016513	17862052	17900938	17862052	337193	setd3	protein_coding
chr17	22417327	22417505	+	0.675600421	41	22417362	22417403	ENSDARG00000074166	22417559	22570865	22417559	796547	birc6	protein_coding
chr17	24274389	24274713	+	0.733083627	193	24274469	24274662	NA	NA	NA	NA	NA	NA	NA
chr17	26595638	26595793	+	0.686749361	-41	26595750	26595709	ENSDARG00000061169	26596031	26643044	26596031	568156	LARP1B	protein_coding
chr17	28765936	28766051	+	0.681355759	107	28765940	28766047	ENSDARG00000001729	28766244	28802088	28766244	563124	strn3	protein_coding
chr17	33581328	33581581	+	0.705594826	35	33581372	33581407	ENSDARG00000024602	33581227	33592348	33581227	560569	zgc:162964	protein_coding
chr17	35410873	35410924	+	0.665815994	-27	35410920	35410893	ENSDARG00000015765	35410883	35414504	35410883	449926	iah1	protein_coding
chr17	37395387	37395504	+	0.73522145	14	37395454	37395468	ENSDARG00000060594	37395454	37420328	37395454	793834	hadhab	protein_coding
chr17	39957902	39957950	+	0.799925179	19	39957906	39957925	ENSDARG00000060480	39957906	40005363	39957906	NA	ubr1	protein_coding
chr17	44487591	44487641	+	0.702793437	-9	44487611	44487602	ENSDARG00000031533	44487599	44500579	44487599	553681	MUDENG	protein_coding
chr17	50007648	50007736	+	0.697799358	81	50007651	50007732	NA	NA	NA	NA	NA	NA	NA
chr17	6272096	6272161	-	0.67269303	0	6272134	6272134	ENSDARG00000017687	6253923	6272240	6272240	393371	dnajc5gb	protein_coding
chr17	6299692	6299777	-	0.629159681	18	6299732	6299714	ENSDARG00000075619	6291902	6299775	6299775	100126022	CENPO	protein_coding
chr17	15070856	15071070	-	0.677814101	6	15071023	15071017	ENSDARG00000057699	15061281	15071026	15071026	554088	STYX	protein_coding
chr17	19306309	19306373	-	0.648016748	19	19306359	19306340	NA	NA	NA	NA	NA	NA	NA
chr17	26452436	26452552	-	0.70682789	36	26452501	26452465	ENSDARG00000007285	26450200	26452552	26452552	393748	mrp63	protein_coding
chr17	28669883	28670020	-	0.685748615	-15	28669970	28669985	ENSDARG00000054128	28667196	28669901	28669901	100002065	im:7136021	protein_coding
chr17	28856470	28856578	-	0.845112089	20	28856509	28856489	ENSDARG00000000779	28829863	28856505	28856505	317732	sly1	protein_coding
chr17	31754323	31754361	-	0.640835339	6	31754333	31754327	ENSDARG00000070833	31726735	31754367	31754367	777755	lin52	protein_coding
chr17	32948767	32948897	-	0.65774638	28	32948830	32948802	NA	NA	NA	NA	NA	NA	NA
chr17	33922434	33922493	-	0.826217601	40	33922490	33922450	ENSDARG00000034042	33914440	33922488	33922488	445048	DNAL1	protein_coding
chr17	42624853	42624914	-	0.653167261	16	42624912	42624896	NA	NA	NA	NA	NA	NA	NA
chr17	43444558	43444796	-	0.686927265	53	43444787	43444734	ENSDARG00000070583	43342639	43444716	43444716	100148744	ITPK1 (1 of 2)	protein_coding
chr17	43668074	43668179	-	0.66770502	26	43668143	43668117	ENSDARG00000053558	43655681	43668157	43668157	449666	rtkn2	protein_coding
chr17	49436197	49436249	-	0.700909864	24	49436249	49436225	ENSDARG00000040727	49376067	49436249	49436249	767802	TFB1M	protein_coding
chr17	50986605	50986628	-	0.831078336	-1	50986627	50986628	NA	NA	NA	NA	NA	NA	NA
